ID,SalePrice
1481,315062.5064612195
1482,204961.38604691348
1483,164051.94771968297
1484,170188.34049908
1485,170864.54259560155
1486,192984.63502444772
1487,330110.9128493734
1488,238309.52057237359
1489,203122.90141391876
1490,206997.93500977583
1491,193245.00314761992
1492,93689.56007348491
1493,185199.32128254106
1494,313241.90045831556
1495,291304.2103204352
1496,227411.60950023466
1497,186592.1657145931
1498,161012.01119684262
1499,160218.78734552226
1500,138720.58703612967
1501,169332.8665326967
1502,157681.92623288766
1503,319955.41477406485
1504,239876.0151065637
1505,217032.17836781143
1506,189962.87933222
1507,240802.8569271284
1508,183095.40139861952
1509,162214.30823127893
1510,145698.11889388305
1511,141772.2823492841
1512,167731.32239575972
1513,150749.85259617062
1514,164027.41695718083
1515,191506.74471777564
1516,169997.46941071434
1517,162473.19381588162
1518,144572.48736310162
1519,224234.25984889522
1520,135849.30982849654
1521,134112.76356748622
1522,168157.1489927292
1523,111191.00108448765
1524,124023.03571813267
1525,128247.68300765939
1526,124012.1455852821
1527,106912.67382304497
1528,133664.90777878385
1529,140106.59806652076
1530,174424.2738297612
1531,97348.59727428418
1532,105369.89647321924
1533,142087.62218898535
1534,122784.92580503818
1535,157745.16499543758
1536,117252.19116523562
1537,74589.44281860862
1538,182368.36513652361
1539,210719.66783786405
1540,91046.72335479766
1541,143272.80650771532
1542,136662.84898748933
1543,218320.6639351805
1544,88573.40124976616
1545,107273.33136799125
1546,127623.94340759644
1547,134228.33835841416
1548,141403.14438772478
1549,114749.91400169843
1550,134302.6573929708
1551,122284.03917399811
1552,130834.1689776228
1553,165803.5639923482
1554,112197.44709312235
1555,168498.4163032086
1556,84122.0737731066
1557,109102.6223864845
1558,96272.34039724742
1559,108234.67293710851
1560,143907.80988134106
1561,143130.30619110266
1562,124948.63500490587
1563,128333.67494163587
1564,161938.0008509524
1565,149265.5823519746
1566,224129.4706261025
1567,76788.94120353306
1568,209131.04793346702
1569,130942.59852470811
1570,139595.38828646726
1571,129699.10022824549
1572,148557.07359223827
1573,255674.6324157048
1574,108209.29988294892
1575,217815.22075969307
1576,230281.18120384112
1577,201178.350264955
1578,152253.25830678755
1579,151371.8401308865
1580,185403.2572206842
1581,154917.5397152346
1582,125938.39244778828
1583,305297.7055455835
1584,224096.63635532022
1585,141430.36424815026
1586,77657.8961149637
1587,94588.98012278654
1588,148891.40983254323
1589,101925.09434701508
1590,135297.25709116374
1591,101163.93386710213
1592,122964.59454175002
1593,132998.12489626472
1594,125391.98777117154
1595,118743.12062023816
1596,226690.33627407343
1597,195419.99193680726
1598,212734.10732725033
1599,207251.85707058868
1600,191708.94375664004
1601,78333.58808748059
1602,111986.3774005224
1603,78645.18788016416
1604,301353.29570883827
1605,250920.29371605907
1606,158938.6169421756
1607,159893.92602424926
1608,224232.51242772097
1609,186692.86454224263
1610,144197.92592752297
1611,148258.93288322483
1612,178361.85120496832
1613,163181.58791988232
1614,132185.56462989672
1615,94304.87711212608
1616,69948.72973968645
1617,94158.60866397661
1618,124936.76311279027
1619,142885.52634854405
1620,166402.71620511438
1621,134110.58927764263
1622,137778.7973069467
1623,283117.28985375166
1624,214063.75034576346
1625,128727.81722572642
1626,167521.98084924178
1627,180574.55377066624
1628,274922.461339236
1629,180399.71299464593
1630,391257.51229308854
1631,238344.0188852664
1632,243000.56854574633
1633,169076.68977633314
1634,175464.62543159974
1635,183314.55784317735
1636,151373.98313777315
1637,181450.2365682456
1638,211348.34404991378
1639,188264.25980583325
1640,255634.48270226107
1641,171099.31025973783
1642,212602.59130006953
1643,224242.7747757001
1644,238995.38129926048
1645,179034.6328430442
1646,151362.5723317139
1647,165884.5218078957
1648,131158.140577528
1649,138717.27240808646
1650,119639.14737487408
1651,125840.28129390595
1652,98589.81944315018
1653,96380.10614335422
1654,153447.99765269732
1655,154749.38390420555
1656,143803.3882633298
1657,153447.99765269732
1658,145014.04702746094
1659,142300.51795520427
1660,151311.30930064246
1661,456864.02957208914
1662,434985.58227015345
1663,382871.82986176386
1664,554283.5532722813
1665,322822.3228257763
1666,338982.9991621202
1667,339149.6291755253
1668,338516.01158566214
1669,310938.21001195087
1670,340557.63706544176
1671,240841.95387806598
1672,498861.5846381635
1673,298997.3344156844
1674,245951.27802381368
1675,170742.3921445593
1676,179325.59806387406
1677,216677.0381277519
1678,545184.9729568111
1679,412873.70207921136
1680,321143.51999107783
1681,277533.91097557754
1682,315062.026644097
1683,173519.02934834623
1684,176349.60266939548
1685,170711.25385923902
1686,171029.45669895463
1687,165001.94581267043
1688,186857.18033270008
1689,189761.69535460294
1690,185831.3457694125
1691,179337.77800422127
1692,267657.9128819292
1693,165408.75583374122
1694,179260.5032930765
1695,165206.86381067507
1696,263930.900246731
1697,168540.60755004056
1698,351733.572162502
1699,294482.20160707267
1700,253629.61632093732
1701,269873.84348342894
1702,254219.88833699957
1703,246504.38630422507
1704,291530.16570643213
1705,234630.39256188963
1706,505524.8631818622
1707,226461.50896095086
1708,201782.16649592834
1709,294180.3580723869
1710,226959.1444692281
1711,259721.81544860755
1712,244570.91654984152
1713,259317.9010443793
1714,207308.16096681575
1715,207888.59267024227
1716,179166.7679208425
1717,173298.14196070764
1718,139108.5749000821
1719,207436.82836764093
1720,249859.026894705
1721,174734.96251627716
1722,134780.55629196487
1723,155821.64830831726
1724,218283.29738356444
1725,241511.80280978294
1726,191759.97459358073
1727,152148.797470731
1728,188540.71150323225
1729,155415.67840044992
1730,164876.00840230347
1731,119307.86458376517
1732,133062.45844234404
1733,121802.53539402736
1734,118847.81504854013
1735,125973.68113643632
1736,116510.8519207144
1737,300435.77996921126
1738,218877.47829493787
1739,278435.40205981507
1740,222287.06915167152
1741,193055.7045415294
1742,169332.8665326967
1743,173201.96877134626
1744,289230.2670363481
1745,196890.8099092375
1746,256987.0383552305
1747,218524.05161298366
1748,213463.61347084682
1749,151294.03945028572
1750,128086.60283865116
1751,236234.6872886013
1752,124533.64828507254
1753,152875.79641848095
1754,197517.0166697811
1755,155000.7909878031
1756,131252.7342422265
1757,123464.5428940931
1758,149639.86080759316
1759,165978.5158750534
1760,168225.20500653132
1761,138260.6798860744
1762,164578.96199784358
1763,185833.7364054802
1764,117974.48900275856
1765,174068.6679740153
1766,173087.36714429373
1767,219550.3739377865
1768,146472.30243599712
1769,179055.06863405253
1770,141652.93667670287
1771,136880.87388253596
1772,136163.70708061734
1773,134344.5144585517
1774,130843.2632453157
1775,140027.43146211933
1776,121159.99034032981
1777,113104.59462998298
1778,139439.77211395887
1779,109884.9934426436
1780,182106.88806658908
1781,135147.15921376206
1782,102589.65207935941
1783,130183.71284352192
1784,91665.61193186304
1785,119684.30047180847
1786,151153.51473859337
1787,168177.62374082924
1788,66401.74009805633
1789,104657.54668295453
1790,84449.36925281852
1791,190518.0308418295
1792,151495.91132500293
1793,129261.91636358232
1794,140605.86023067366
1795,132976.67577482777
1796,126998.02759753309
1797,117976.5255943191
1798,124582.0735016615
1799,114077.7579177078
1800,120500.88041991892
1801,128471.4502801595
1802,153057.13205849557
1803,158152.28891237575
1804,143393.0554561029
1805,137809.49007012235
1806,112136.15941563588
1807,133134.18877791724
1808,124884.89134267085
1809,112978.73474266464
1810,139926.33473903735
1811,99980.86471832475
1812,102896.45219810933
1813,120810.8885145293
1814,102248.55038742877
